Date,PFE,JNJ,NVAX,MRNA,AZN,BNTX
2020-05-27,25904158.0,7950000.0,10439500.0,59514700.0,7010200.0,1810200.0
2020-05-28,22521767.0,6189600.0,4955100.0,32258900.0,4445800.0,1107900.0
2020-05-29,48638200.0,8505200.0,4119800.0,38070400.0,7615800.0,760600.0
2020-06-01,76884979.0,6141800.0,9686800.0,21257500.0,5759800.0,1275800.0
2020-06-02,42690900.0,6078300.0,6538800.0,21701100.0,4279400.0,688500.0
2020-06-03,38751996.0,6339500.0,16950300.0,20811500.0,5464200.0,1379900.0
2020-06-04,27013388.0,8170500.0,5713100.0,13504000.0,4483700.0,623300.0
2020-06-05,36705655.0,9725400.0,8077200.0,14677900.0,6092400.0,768700.0
2020-06-08,30194149.0,7555600.0,4812700.0,11249300.0,9762600.0,1142400.0
2020-06-09,21675088.0,8247200.0,3875400.0,7600200.0,4782300.0,970100.0
2020-06-10,29557217.0,10137100.0,2308700.0,11074400.0,4582600.0,913100.0
2020-06-11,63166642.0,11913300.0,4089100.0,32085200.0,4787000.0,1324800.0
2020-06-12,37902472.0,8687400.0,3297800.0,14742900.0,5630300.0,858800.0
2020-06-15,36247482.0,8649600.0,8694400.0,19339300.0,5711800.0,1087500.0
2020-06-16,55616945.0,7579100.0,5026200.0,16537800.0,5535500.0,901100.0
2020-06-17,27509822.0,5100100.0,9350000.0,13616000.0,4919100.0,723000.0
2020-06-18,32278855.0,4797400.0,5654100.0,10914400.0,3796100.0,691500.0
2020-06-19,43986266.0,12206900.0,11569300.0,16076700.0,6807200.0,735800.0
2020-06-22,23332503.0,5285600.0,8431300.0,13586400.0,3375400.0,2678200.0
2020-06-23,37690408.0,5921600.0,6138100.0,12361300.0,10772000.0,2142200.0
2020-06-24,30817695.0,8211200.0,10960400.0,14377100.0,6418600.0,1344500.0
2020-06-25,27418651.0,7421200.0,10743500.0,26905700.0,4948300.0,2406400.0
2020-06-26,42153992.0,12849700.0,13522400.0,13866300.0,6234700.0,2830700.0
2020-06-29,23956261.0,5309800.0,8693300.0,8074200.0,4526200.0,4011400.0
2020-06-30,25451676.0,7738300.0,7782200.0,11955200.0,4621900.0,1979100.0
2020-07-01,73503009.0,6174800.0,6612100.0,17916500.0,5462000.0,9879300.0
2020-07-02,45270881.0,5152200.0,5210900.0,26544400.0,4591300.0,3926500.0
2020-07-06,27150935.0,6156400.0,3832000.0,9977300.0,5180900.0,1649400.0
2020-07-07,25148018.0,5622600.0,26477900.0,8904300.0,3747500.0,2264400.0
2020-07-08,24256545.0,6257400.0,7898700.0,7590900.0,6247800.0,1449600.0
2020-07-09,20363702.0,5738600.0,4348600.0,20646100.0,4203000.0,1186700.0
2020-07-10,24459019.0,4282400.0,3072200.0,7407500.0,5414500.0,2874300.0
2020-07-13,56569129.0,6951900.0,8636400.0,56617300.0,5639800.0,8529600.0
2020-07-14,32854129.0,7447100.0,5390800.0,38708800.0,7199600.0,4748700.0
2020-07-15,26294454.0,8512800.0,5250900.0,90756100.0,19902500.0,3908700.0
2020-07-16,18421812.0,9304700.0,6940400.0,27277400.0,12358700.0,2847900.0
2020-07-17,23347365.0,7441100.0,15200800.0,103509200.0,24319500.0,5053500.0
2020-07-20,36815693.0,6191500.0,12934500.0,78391300.0,56346600.0,7790800.0
2020-07-21,23646912.0,5579700.0,8868700.0,26157900.0,15419100.0,6025500.0
2020-07-22,90705554.0,5910200.0,6143100.0,27274000.0,9562100.0,13817800.0
2020-07-23,59639536.0,6566300.0,5923200.0,29288100.0,8658900.0,15899700.0
2020-07-24,33870501.0,5405900.0,4819300.0,27797500.0,7748000.0,7109700.0
2020-07-27,27640307.0,5675200.0,5035600.0,44710700.0,5660200.0,5129200.0
2020-07-28,56393954.0,4842200.0,5907800.0,32946900.0,4979100.0,5108600.0
2020-07-29,37033660.0,4489100.0,5638600.0,24453900.0,5038900.0,3846300.0
2020-07-30,32273796.0,5922500.0,5410600.0,13102000.0,8215100.0,3302800.0
2020-07-31,28503006.0,8259600.0,4232100.0,14210400.0,6844500.0,2640500.0
2020-08-03,31036400.0,4078700.0,6762900.0,13382300.0,4799700.0,2431700.0
2020-08-04,29448549.0,4162200.0,11517400.0,10126500.0,4121300.0,2410300.0
2020-08-05,24604787.0,5493200.0,17875600.0,19831900.0,3267200.0,4084400.0
2020-08-06,20922111.0,4837900.0,7882700.0,11691500.0,3532100.0,3175200.0
2020-08-07,23097251.0,3635100.0,6540200.0,8771400.0,3849200.0,3038200.0
2020-08-10,19964552.0,4096600.0,7607000.0,8678300.0,2937300.0,2830600.0
2020-08-11,21326847.0,6388400.0,15226000.0,18118700.0,3948900.0,4032200.0
2020-08-12,19965817.0,5258100.0,17941200.0,50362100.0,5466200.0,3252000.0
2020-08-13,15340021.0,5155500.0,10776300.0,15055900.0,3490600.0,2390900.0
2020-08-14,12901276.0,4240200.0,13721100.0,12799600.0,2893300.0,1862400.0
2020-08-17,17494187.0,4306900.0,5690500.0,8749100.0,2997600.0,1948000.0
2020-08-18,10846398.0,4322600.0,7441000.0,11329200.0,4174800.0,1905100.0
2020-08-19,15690055.0,7816300.0,5328700.0,8558800.0,3322100.0,2326600.0
2020-08-20,21957455.0,4874700.0,3727400.0,6346700.0,2527500.0,2932600.0
2020-08-21,25467170.0,6722800.0,5660900.0,6935600.0,3419200.0,6290400.0
2020-08-24,25011947.0,5387900.0,8483700.0,13143200.0,7379000.0,3393900.0
2020-08-25,26221201.0,3863500.0,13008400.0,7798500.0,3399700.0,1576200.0
2020-08-26,24083689.0,8008300.0,6988800.0,28768100.0,2802400.0,1711400.0
2020-08-27,22156556.0,5575400.0,4827000.0,9262600.0,4195100.0,1980500.0
2020-08-28,32830519.0,5395700.0,3217200.0,6368200.0,3251900.0,1760000.0
2020-08-31,30032465.0,6362700.0,6236200.0,15271800.0,3262600.0,2217200.0
2020-09-01,36161475.0,6309200.0,4830700.0,8183600.0,3965900.0,3569600.0
2020-09-02,29068688.0,6881900.0,6355200.0,9874600.0,3614200.0,3892800.0
2020-09-03,35956788.0,8672800.0,7538300.0,14307300.0,5122000.0,2586000.0
2020-09-04,26872257.0,7200100.0,7674000.0,11653300.0,4610000.0,1985500.0
2020-09-08,26736818.0,8756800.0,5625700.0,17706200.0,6735600.0,2887800.0
2020-09-09,27490533.0,6960700.0,3780500.0,9355400.0,11416300.0,3406900.0
2020-09-10,21650741.0,6191800.0,4656600.0,7985300.0,4407100.0,1751800.0
2020-09-11,24109301.0,3934700.0,5303400.0,4821900.0,4627700.0,2515200.0
2020-09-14,29565543.0,4375800.0,7979000.0,8930800.0,4960000.0,3373600.0
2020-09-15,22003726.0,3658800.0,6779500.0,9101200.0,4300900.0,3168300.0
2020-09-16,22208412.0,4323000.0,10805500.0,11345200.0,3948500.0,2231500.0
2020-09-17,17894390.0,5461400.0,5531300.0,13275200.0,3991900.0,2860000.0
2020-09-18,31694623.0,12174000.0,5820800.0,13206200.0,2931700.0,2608900.0
2020-09-21,26608968.0,7574500.0,3241200.0,8223000.0,6792700.0,2118700.0
2020-09-22,22727297.0,5295900.0,2407200.0,6303600.0,3878600.0,1572300.0
2020-09-23,23102521.0,8784400.0,3216800.0,6919400.0,2922900.0,1678000.0
2020-09-24,20859925.0,5614800.0,3337200.0,5565200.0,4123700.0,2863400.0
2020-09-25,14365598.0,5531200.0,8336900.0,9190600.0,4954900.0,1670500.0
2020-09-28,15044269.0,5843200.0,6169800.0,7337400.0,2741400.0,1750000.0
2020-09-29,13512491.0,6768600.0,3212000.0,6027600.0,4177500.0,847600.0
2020-09-30,22629275.0,8487700.0,4848700.0,15690700.0,3001400.0,1746800.0
2020-10-01,22520396.0,6457800.0,3704500.0,6839000.0,4728200.0,2371700.0
2020-10-02,21461759.0,5485600.0,2731800.0,8004900.0,5699100.0,2327800.0
2020-10-05,19400029.0,4992800.0,3210200.0,6518100.0,6704300.0,3750600.0
2020-10-06,25233392.0,5118200.0,2492000.0,7285500.0,3695000.0,5702100.0
2020-10-07,22160034.0,5603100.0,1862600.0,4190600.0,3518700.0,2354700.0
2020-10-08,17857395.0,4413500.0,2352600.0,4023800.0,2351300.0,1826000.0
2020-10-09,23667465.0,5054100.0,2421500.0,4774000.0,2092000.0,1462500.0
2020-10-12,19413837.0,7273200.0,1788200.0,7590800.0,2783500.0,2573100.0
2020-10-13,21543233.0,11057600.0,4425900.0,13669200.0,2949800.0,2527500.0
2020-10-14,22124619.0,7707000.0,2447700.0,6634600.0,4657400.0,4180000.0
2020-10-15,16089205.0,5978600.0,2297400.0,5009100.0,3038700.0,2029700.0
2020-10-16,42993503.0,6097000.0,2118300.0,4693600.0,2665500.0,2792500.0
2020-10-19,31931352.0,7250800.0,2708300.0,6931300.0,3143700.0,2800200.0
2020-10-20,22384852.0,5325400.0,4039200.0,5441300.0,4919100.0,1872100.0
2020-10-21,18984859.0,5221300.0,3398700.0,4614800.0,8219800.0,3384600.0
2020-10-22,19243616.0,5279700.0,2571800.0,5212100.0,3751000.0,2205900.0
2020-10-23,30557884.0,4154400.0,3107000.0,3735100.0,5576900.0,2079700.0
2020-10-26,33783124.0,6929500.0,2767700.0,3872800.0,6022000.0,2879900.0
2020-10-27,36851529.0,4890100.0,2900800.0,3812900.0,3702300.0,2222100.0
2020-10-28,33857537.0,8426100.0,3414800.0,6044000.0,5263200.0,2566100.0
2020-10-29,27545341.0,7205400.0,2815900.0,13776400.0,3534000.0,2512000.0
2020-10-30,25631067.0,7364100.0,3007300.0,7070500.0,4761600.0,2253000.0
2020-11-02,21430666.0,7088000.0,1855200.0,4650300.0,5368800.0,2139900.0
2020-11-03,21636617.0,6363000.0,1818000.0,4366900.0,4156800.0,1082600.0
2020-11-04,40870536.0,10263500.0,2272300.0,5442100.0,7385800.0,1701500.0
2020-11-05,33926995.0,8016200.0,2233100.0,4449900.0,6660900.0,1459800.0
2020-11-06,23870676.0,5942500.0,1893100.0,5841000.0,3686300.0,861300.0
2020-11-09,230153864.0,12351600.0,6586500.0,20266800.0,4381300.0,14614900.0
2020-11-10,80091668.0,7386500.0,6854400.0,10499400.0,5835800.0,8029100.0
2020-11-11,58980997.0,6382400.0,3986000.0,18576500.0,4069700.0,3274100.0
2020-11-12,46767877.0,4710300.0,4953400.0,21700100.0,2902900.0,3596500.0
2020-11-13,40175634.0,5893500.0,3731700.0,14121100.0,2900500.0,2997500.0
2020-11-16,75530167.0,6266400.0,6852900.0,70853100.0,5190500.0,11171600.0
2020-11-17,46984500.0,7297700.0,2920100.0,26172000.0,6451500.0,4057400.0
2020-11-18,63442700.0,6661000.0,2525200.0,21823500.0,4732300.0,5772600.0
2020-11-19,43261800.0,7987700.0,3249900.0,16002000.0,6768200.0,3400100.0
2020-11-20,60633800.0,6354900.0,2557300.0,15306300.0,4306000.0,6776800.0
2020-11-23,43673100.0,7318300.0,6548300.0,16359600.0,13670600.0,5194200.0
2020-11-24,42485300.0,11034800.0,3099200.0,12515300.0,8341400.0,3864000.0
2020-11-25,26955800.0,7594600.0,3794700.0,25850700.0,11660900.0,3007400.0
2020-11-27,25277000.0,3059000.0,11777400.0,43438500.0,14783200.0,3874600.0
2020-11-30,65425900.0,15663200.0,16386900.0,73203100.0,14725200.0,9934800.0
